Record ID,Location ID,Parent Company,Business Name,Trading Name,Legal Company Name,Business Category,Business Subcategory,Independent / Chain,Number of Locations,Website,Facebook,Instagram,Other Social Media,Address Line 1,Address Line 2,Town / City,County,Postcode,Region,Country,Main Phone,Secondary Phone,Mobile,General Email,Sales Email,Purchasing Email,Contact Name,Contact Position,Contact Source,Companies House Number,Company Status,Registered Company Name,Registered Office,Incorporation Date,Existing Vape Brands,Product Categories,Potential Opportunity,Estimated Retail Type,Supplier Information,Sales Notes,Lead Priority,Priority Reasons,Primary Source,Secondary Source,Source Count,Website Checked,Phone Checked,Email Checked,Companies House Checked,Phone Status,Email Status,Last Verified Date,Verification Status,Data Confidence,Duplicate Review,Contact Type,Marketing Legal Basis,Opt-Out Status,Do Not Contact,Date Collected,Lead Status,Date Added,Last Contact,Next Follow-Up,Contact Method,Salesperson,Outcome,CRM Notes
WY-0011,CHEAPASMOK-01,Cheapasmokes,Cheapasmokes,Cheapasmokes Halifax,,Tobacco Specialist,"Cut-price cigarette, tobacco and cigar specialist",Regional Chain,,https://www.cheapasmokes.com/pages/cheapasmokes-halifax,,,,"Unit 24, Borough Market",,Halifax,West Yorkshire,HX1 1DZ,Yorkshire & Humber,England,01422 355554,,,,sales@cheapasmokes.com,,,,,,,,,,,cigarettes; tobacco; cigars; vapes,,Tobacco Specialist,Hunters & Frankau stockist (cigars.co.uk location listing),Physical shop inside Halifax Borough Market; part of the Cheapasmokes group which runs several shops plus a national online tobacconist (cheapasmokes.com).,High,Multi-site retailer; Core relevant category; Public trade/sales contact; Active website,https://www.cheapasmokes.com/pages/cheapasmokes-halifax,https://www.cheapasmokes.com/pages/contact-us,4,No,No,Yes,No,Verified directory,Website Found,2026-09-16,Partially Verified,Medium,,Business (B2B),Legitimate interest (B2B) - assess per campaign; PECR: corporate subscribers,,No,2026-09-16,New,2026-09-16,,,,,,
WY-0012,DOMINIQUEL-01,Dominique London Group / C.Gars Ltd,C.Gars Leeds (Dominique London),C.Gars Leeds,,Tobacco Specialist,"Havana cigar specialist - cigars, whisky, accessories",National Chain,,https://www.cgarsltd.co.uk/,https://www.facebook.com/DominiqueLDN/,,,22 Thornton's Arcade,City Centre,Leeds,West Yorkshire,LS1 6LQ,Yorkshire & Humber,England,0113 244 5556,,,,,,,,,,,,,,,Cuban cigars; New World cigars; single malt whisky; humidors; accessories,,Tobacco Specialist,Hunters & Frankau (Havana cigar UK distributor) announced the opening,"Havana Cigar Specialist boutique in Thornton's Arcade with sampling lounge and client lockers; part of the Dominique London / C.Gars group of cigar boutiques (UK-wide chain, so head office is not local).",High,Multi-site retailer; Core relevant category; Active website; Social presence,https://www.cgarsltd.co.uk/new-cgars-ltd-store-leeds-a-521.html,https://www.cgarsltd.co.uk/cigar-shops/CGars_Leeds_1.html,3,No,No,No,No,Verified directory,Website Found,2026-09-16,Requires Verification,Medium,,Business (B2B),Legitimate interest (B2B) - assess per campaign; PECR: corporate subscribers,,No,2026-09-16,New,2026-09-16,,,,,,
WY-0013,ECIGNVAPE-01,Ecig N Vape,Ecig N Vape South Elmsall,Ecig N Vape,Ecig N Vape South Elmsall Ltd,Vape Shop,Vape retailer,Multi-Site Independent,2,,https://www.facebook.com/Ecignvapesouthelmsall/,,,13 Barnsley Road,,South Elmsall,West Yorkshire,WF9 2RJ,Yorkshire & Humber,England,01977 647267,,,,,,,,,12772350,,ECIG N VAPE SOUTH ELMSALL LTD,,,,vape hardware; e-liquids; disposables,,Vape Shop,,Facebook posts announce a second 'Woodlands' shop at 256 Great North Road (Woodlands is over the Doncaster border - outside this batch's district). Companies House number found via search; full CH record (status/incorporation) not yet retrieved.,High,Multi-site retailer; Independent retailer; Core relevant category; Social presence,https://find-and-update.company-information.service.gov.uk/company/12772350,https://www.facebook.com/Ecignvapesouthelmsall/,3,No,No,No,No,Verified directory,Not Found,2026-09-16,Requires Verification,Medium,,Business (B2B),Legitimate interest (B2B) - assess per campaign; PECR: corporate subscribers,,No,2026-09-16,New,2026-09-16,,,,,,
WY-0014,GTNEWS-01,GT News,GT News (White Rose Shopping Centre),GT News,,Newsagent,Shopping-centre newsagent and convenience kiosk,Multi-Site Independent,2,http://www.gtnews.co.uk/,,,,"Unit 28E Lower Level, White Rose Shopping Centre",Dewsbury Road,Leeds,West Yorkshire,LS11 8LU,Yorkshire & Humber,England,0113 228 6446,,,,,,,,,,,,,,,newspapers; magazines; lottery; mobile top-ups; tobacco; sweets; drinks,,Newsagent,,Operates at least two units in the White Rose Shopping Centre (28E Lower Level and U102 Upper Level); multi-site newsagent operator.,Medium,Multi-site retailer; Independent retailer; Relevant category; Active website,https://www.leedsonline.co.uk/info/17974/,https://www.misterwhat.co.uk/company/2740902-gt-news-leeds,2,No,No,No,No,Verified directory,Website Found,2026-09-16,Requires Verification,Medium,,Business (B2B),Legitimate interest (B2B) - assess per campaign; PECR: corporate subscribers,,No,2026-09-16,New,2026-09-16,,,,,,
WY-0015,KPMVAPES-01,KPM Vapes,KPM Vapes,KPM Vapes,,Vape Shop,Vape retail and wholesale,Multi-Site Independent,2,,https://www.facebook.com/people/KPM-Vapes/61556161391449/,https://www.instagram.com/kpmvapes/,,87/89 Wakefield Road,Moldgreen,Huddersfield,West Yorkshire,HD5 9AB,Yorkshire & Humber,England,07463 530406,,,kpmvapes@outlook.com,,,,,,,,,,,,vape hardware; e-liquids; disposable vapes; wholesale vape supplies,,Vape Shop,Offers wholesale as well as retail,"Second branch at 289 Tong Street, Bradford BD4 9QS (outside Kirklees). Email seen in Yellowtom directory listing, not on an owned page, so marked Unverified. Alternative phone 07774 002629 also listed.",High,Multi-site retailer; Independent retailer; Core relevant category; Public email available; Social presence,https://www.facebook.com/people/KPM-Vapes/61556161391449/,https://www.instagram.com/kpmvapes/,3,No,No,No,No,Verified directory,Unverified,2026-09-16,Requires Verification,Medium,,Business (B2B),Legitimate interest (B2B) - assess per campaign; PECR: corporate subscribers,,No,2026-09-16,New,2026-09-16,,,,,,
WY-0016,KARANRETAI-01,Karan Retail Ltd,Chidswell Service Station (Karan Retail),Chidswell Service Station,Karan Retail Ltd,Petrol Station / Forecourt,Forecourt with convenience store,Multi-Site Independent,,,,,,Off A653 (Chidswell),,Dewsbury,West Yorkshire,,Yorkshire & Humber,England,,,,,,,,,,,,,,,,fuel; convenience retail,,Petrol Station / Forecourt,,"Karan Retail acquired Chidswell Service Station, situated just off the A653 in West Yorkshire's commuter belt with connectivity to Leeds, Wakefield, Huddersfield and Bradford (Asian Trader, trade press). Group size, full address, postcode and Companies House details not captured before search budget was exhausted - follow up. Recorded as a genuine West Yorkshire multi-site forecourt operator lead.",Medium,Multi-site retailer; Independent retailer; Relevant category,https://www.asiantrader.biz/karan-retail-chidswell-service-station-acquisition,,1,No,No,No,No,Not Found,Not Found,2026-09-16,Requires Verification,Low,,Business (B2B),Legitimate interest (B2B) - assess per campaign; PECR: corporate subscribers,,No,2026-09-16,New,2026-09-16,,,,,,
WY-0017,MANCHESTER-01,Manchester Super Stores,Manchester Superstore (Wakefield),Manchester Superstore,Manchester Super Store (Wakefield) Ltd,Independent Supermarket,Ethnic / Asian supermarket with halal meat,Regional Chain,,https://manchestersuperstores.co.uk/store-locations/manchester-super-stores-in-wakefield/,https://www.facebook.com/p/Manchester-superstore-100067793681757/,,,38 Park Lodge Lane,,Wakefield,West Yorkshire,WF1 4NL,Yorkshire & Humber,England,01924 369105,,,,,,,,,08447369,,MANCHESTER SUPER STORE (WAKEFIELD) LTD,,,,halal meat; fish; spices; exotic fruit and veg; ethnic grocery brands; toiletries,,Independent Supermarket,,"Wakefield branch of the award-winning Manchester Super Stores group (BBC Food & Farming Awards, Asian Food & Restaurant Awards). Own dedicated store page on group website. Full Companies House record (status/incorporation) not yet retrieved.",Medium,Multi-site retailer; Relevant category; Active website; Social presence,https://manchestersuperstores.co.uk/store-locations/manchester-super-stores-in-wakefield/,https://find-and-update.company-information.service.gov.uk/company/08447369,3,No,No,No,No,Verified directory,Website Found,2026-09-16,Requires Verification,Medium,,Business (B2B),Legitimate interest (B2B) - assess per campaign; PECR: corporate subscribers,,No,2026-09-16,New,2026-09-16,,,,,,
WY-0018,MANCHESTER-02,Manchester Super Stores,Manchester Superstore Bradford,Manchester Superstore,,Independent Supermarket,Asian / halal superstore,Multi-Site Independent,,https://manchestersuperstores.co.uk/store-locations/manchester-super-stores-in-bradford/,https://www.facebook.com/p/Manchester-SuperStore-Bradford-100066139307711/,,,Florence Street,Off Leeds Road,Bradford,West Yorkshire,BD3 8EX,Yorkshire & Humber,England,01274 668800,,,mssbradford01@gmail.com,,,,,,,,,,,,fresh halal meat; fish; spices; exotic fruit & veg; toiletries; ethnic brands,,Independent Supermarket,,"Bradford branch of the Manchester Super Stores group (multi-site, has store-locations page on its own website).",High,Multi-site retailer; Independent retailer; Relevant category; Public email available; Active website; Social presence,https://manchestersuperstores.co.uk/store-locations/manchester-super-stores-in-bradford/,https://www.facebook.com/p/Manchester-SuperStore-Bradford-100066139307711/,3,No,No,Yes,No,Verified directory,Website Found,2026-09-16,Partially Verified,Medium,,Business (B2B),Legitimate interest (B2B) - assess per campaign; PECR: corporate subscribers,,No,2026-09-16,New,2026-09-16,,,,,,
WY-0019,MULLACO-01,Mullaco,Mullaco (Batley),Mullaco,,Independent Supermarket,Asian and continental world foods store,Regional Chain,3,https://mullaco.co.uk/,https://www.facebook.com/mullaco.supermarket/,https://www.instagram.com/mullacosupermarket/,,35 Oxford Street,,Batley,West Yorkshire,WF17 7PJ,Yorkshire & Humber,England,01924 939128,,,,,,,,,,,,,,,world foods; halal meat and poultry; groceries,,Independent Supermarket,,Batley branch of the Mullaco world foods group (parent record: Mullaco Supermarket Dewsbury).,Medium,Multi-site retailer; Relevant category; Active website; Social presence,https://mullaco.co.uk/contact-us/,https://www.zoominfo.com/c/mullaco-ltd/370332224,3,No,No,No,No,Verified directory,Website Found,2026-09-16,Requires Verification,Medium,,Business (B2B),Legitimate interest (B2B) - assess per campaign; PECR: corporate subscribers,,No,2026-09-16,New,2026-09-16,,,,,,
WY-0020,MULLACO-02,Mullaco,Mullaco Minimarket (Dewsbury),Mullaco Minimarket,,Convenience Store,World foods minimarket,Regional Chain,3,https://mullaco.co.uk/,https://www.facebook.com/mullaco.supermarket/,,,,,Dewsbury,West Yorkshire,WF12 9LX,Yorkshire & Humber,England,,,,,,,,,,,,,,,,world foods; groceries; convenience goods,,Convenience Store,,Mullaco minimarket location in Dewsbury at postcode WF12 9LX per search results; street address not captured because mullaco.co.uk fetch was blocked.,Medium,Multi-site retailer; Relevant category; Active website; Social presence,https://www.facebook.com/mullaco.supermarket/,https://www.zoominfo.com/c/mullaco-ltd/370332224,2,No,No,No,No,Not Found,Website Found,2026-09-16,Requires Verification,Medium,,Business (B2B),Legitimate interest (B2B) - assess per campaign; PECR: corporate subscribers,,No,2026-09-16,New,2026-09-16,,,,,,
WY-0021,MULLACO-03,Mullaco,Mullaco Supermarket (Dewsbury),Mullaco Supermarket,Mullaco (Dewsbury) Ltd,Independent Supermarket,Asian and continental world foods supermarket,Regional Chain,3,https://mullaco.co.uk/,https://www.facebook.com/mullaco.supermarket/,https://www.instagram.com/mullacosupermarket/,,"Mullaco Retail Park, Slaithwaite Road",Thornhill Lees,Dewsbury,West Yorkshire,WF12 0AA,Yorkshire & Humber,England,01924 465909,,,,,,,,,06629345,,MULLACO (DEWSBURY) LTD,,,,world foods; halal meat and poultry; fresh fruit and vegetables; groceries,,Independent Supermarket,,"Family-run world foods group with stores in Dewsbury, Batley and a Dewsbury minimarket; head office listed as 7 Wellington Street, Batley WF17 5BH (ZoomInfo). Own website mullaco.co.uk could not be fetched (proxy blocked).",Medium,Multi-site retailer; Relevant category; Active website; Social presence,https://mullaco.co.uk/contact-us/,https://find-and-update.company-information.service.gov.uk/company/06629345,4,No,No,No,No,Verified directory,Website Found,2026-09-16,Requires Verification,Medium,,Business (B2B),Legitimate interest (B2B) - assess per campaign; PECR: corporate subscribers,,No,2026-09-16,New,2026-09-16,,,,,,
WY-0022,SMKD-01,SMKD,SMKD,SMKD Halifax,SMKD VAPE LIMITED,Vape Shop,Vape chain store,Regional Chain,,https://smkd.com/vape-shop-locator/smkd-halifax-vape-shop-market-street/,https://www.facebook.com/SmkdVapeShop/,,,31-32 Market Street,Borough Market,Halifax,West Yorkshire,HX1 1DZ,Yorkshire & Humber,England,,,,info@smkd.com,,,,,,16161027,Active,SMKD VAPE LIMITED,"Bradford Chamber Business Park, New Lane, Laisterdyke, Bradford, BD4 8BX",2025-01-03,,vape hardware; e-liquids; disposables,,Vape Shop,,Address conflict between sources: UK Malls lists 31-32 Market St HX1 1DZ (Borough Market); Yell-sourced listing gives 28 Market St HX1 1PB. One directory snippet suggests the store may now be closed with delivery-only service in Halifax - needs verification before outreach. | CONFLICTING SOURCES: another collection pass found trade reports that SMKD (Smokers Delight Ltd) closed all retail stores around mid-2026 and moved online-only. Verify store still trading before contact.,High,Multi-site retailer; Core relevant category; Public email available; Active website; Social presence,https://smkd.com/vape-shop-locator/smkd-halifax-vape-shop-market-street/,https://www.ukmalls.co.uk/shopping-centres/england/yorkshire-and-the-humber/halifax/halifax-borough-market/smkd-e-cigarettes-and-vape-shop-halifax,2,No,No,Yes,Yes,Not Found,Website Found,2026-09-16,Partially Verified,Medium,,Business (B2B),Legitimate interest (B2B) - assess per campaign; PECR: corporate subscribers,,No,2026-09-16,New,2026-09-16,,,,,,
