Outreach Channel,Lead Priority,Business Name,Category,Town,Postcode,Mobile (WhatsApp),WhatsApp Link,Landline,Email,Other Emails,Website,Data Confidence,Notes,Record ID
Phone (landline),Medium,SPAR Huddersfield Road,Convenience Store,Elland,HX5 9AA,,,01422 648232,,,https://www.spar.co.uk/store-locator/hal32443-spar-huddersfield-road,Medium,Store operator (independent retailer vs company-owned) not established; listed on the official SPAR UK store locator.,WY-0141
Phone (landline),Medium,SPAR Outwood,Convenience Store,Wakefield,WF1 2LE,,,01924 822641,,,https://www.spar.co.uk/store-locator/afb49926-spar-outwood,Medium,On the official SPAR UK store locator. Operator (independent retailer vs company-owned) not established; SPAR stores in this area are commonly independently owned.,WY-0142
Phone (landline),Medium,SaveCo Cash & Carry Bradford,Cash & Carry,Bradford,BD3 8HE,,,01274 665555,,,https://savecobradford.co.uk/,Medium,"Award-winning halal supermarket / cash & carry. HMC lists operator as 'The Meat Company Bradford Ltd t/a SaveCo Cash & Carry'; a local directory also lists 'SaveCo Cash & Carry Ltd' at this address, a",WY-0143
Phone (landline),Medium,Shans Supermarket,Independent Supermarket,Keighley,,,,01535 667889,,,,Medium,"Described as Keighley's first multicultural halal supermarket, town-centre location on Alice Street.",WY-0145
Phone (landline),Medium,Somers of Keighley,Tobacco Specialist,Keighley,BD21 3PB,,,01535 604678,,,,Medium,"Long-standing specialist tobacconist in Keighley town centre; address and phone consistent across Yelp, Cylex and Citikey listings.",WY-0150
Phone (landline),Medium,Suki's Cash & Carry,Cash & Carry,Bradford,BD3 9HN,,,01274 736093,,,https://sukiscashandcarry.co.uk/,Medium,Self-described 'Bradford's No.1 household goods cash & carry'. Sister site sukisfireworks.co.uk. Postcode BD3 9HN from official-site snippet; one directory shows BD3 9HB.,WY-0156
Phone (landline),Medium,The Vape Hub,Vape Shop,Bradford,BD6 3PB,,,01274 785496,,,,Medium,South Bradford (Buttershaw/Queensbury side). Address and phone consistent across Cylex and Yell listings.,WY-0161
Phone (landline),Medium,Totally Wicked,Vape Shop,Brighouse,HD6 1JR,,,01484 769431,,,,Medium,Some Totally Wicked branded stores are franchised; ownership of this branch not established.,WY-0032
Phone (landline),Medium,Totally Wicked,Vape Shop,Halifax,HX1 1TA,,,01422 320223,,,https://www.totallywicked-eliquid.co.uk/stores/halifax-e-cigs-e-liquid-shop,Medium,"Authorised Totally Wicked stockist store; some Totally Wicked branded stores are franchised, ownership of this branch not established.",WY-0033
Phone (landline),Medium,VAPE (Heckmondwike),Vape Shop,Heckmondwike,WF16 0JG,,,01924 650140,,,,Medium,Trades simply as 'VAPE' on Market Street; listed on eCig Directory UK and The UK High Street with matching address and phone.,WY-0171
Phone (landline),Medium,Vape Road,Vape Shop,Brighouse,HD6 1AQ,,,01484 917785,,,,Medium,Well-reviewed for customer service and product range per Cylex AI review summary.,WY-0175
Phone (landline),Medium,Vape Suite,Vape Shop,Huddersfield,HD1 2QD,,,01484 312366,,,,Medium,"Well-reviewed town-centre vape shop. Companies House match VAPE SUITE (HUDDERSFIELD) LTD found in search results; company page not opened, so status/incorporation not recorded.",WY-0177
Phone (landline),Medium,Vapestation,Vape Shop,Halifax,HX1 1QE,,,01422 365557,,,,Medium,"Nextdoor page is titled 'Vapestation Inc Limited', suggesting the legal name, but this was not verified at Companies House (site fetch blocked).",WY-0181
Phone (landline),Medium,White Rose Catering,Cash & Carry,Dewsbury,WF13 3QU,,,01924 467054,,,,Medium,,WY-0188
Phone (landline),Medium,Worldwide Foods Bradford (Leeds Road),Independent Supermarket,Bradford,BD3 7NH,,,01274 656638,,,https://worldwidefoods.co.uk/,Medium,"Family-owned group (Alam brothers: Pervez, Arshad, Shahid, Zahid, Asif, Kashif) described as the UK's leading halal supermarket chain, outlets across the North and Midlands. Bradford Leeds Road store ",WY-0045
Phone (landline),Medium,Zesty Vape,Vape Shop,Brighouse,HD6 1AQ,,,01484 722183,,,,Medium,,WY-0191
Phone (landline),Low,Anwarsons Newsagency,Newsagent,Brighouse,HD6 1JR,,,01484 717622,,,,Medium,Also listed as 'Anwarsons Quality Tobacconists' (MisterWhat) - dual newsagent/tobacconist offer.,WY-0050
Phone (landline),Low,Asia Foods,Independent Supermarket,Huddersfield,HD1 3SG,,,01484 514828,,,,Medium,,WY-0052
Phone (landline),Low,Brooks News,Newsagent,Pudsey,LS28 7LD,,,0113 257 3382,,,,Medium,,WY-0070
Phone (landline),Low,Carlton Self Service,Newsagent,Pontefract,WF8 2SE,,,01977 780317,,,,Medium,,WY-0072
Phone (landline),Low,Castleford Road Off Licence,Off-Licence,Normanton,WF6 2EU,,,01924 223984,,,,Medium,Trades as a limited company per 192.com listing ('Castleford Road Off Licence Limited'); Companies House record not yet verified.,WY-0074
Phone (landline),Low,Charlesworths,Newsagent,Holmfirth,HD9 7DF,,,01484 681111,,,,Medium,"Newsagent trading on this site since 1891 per Holmfirth Local History Group. A 'CHARLESWORTHS (YORKSHIRE) LIMITED' exists at Companies House but was not confirmed as the same business, so not recorded",WY-0075
Phone (landline),Low,Dhillon's Newsagents,Newsagent,Leeds,LS13 2JJ,,,0113 257 8085,,,,Medium,,WY-0080
Phone (landline),Low,KV Convenience & Off Licence,Convenience Store,Huddersfield,HD3 4HZ,,,01484 644192,,,,Medium,Granted a 24-hour alcohol licence in May 2024; sells via Snappy Shopper and Uber Eats for local delivery.,WY-0101
Phone (landline),Low,Kash News & Gifts,Newsagent,Brighouse,HD6 1AF,,,01484 400405,,,,Medium,Open 07:00-17:30 per directory listing.,WY-0103
Phone (landline),Low,Khadim Supersave,Independent Supermarket,Huddersfield,HD1 5HU,,,01484 360513,,,,Medium,,WY-0106
Phone (landline),Low,Matharu Newsagents,Newsagent,Leeds,LS6 4ER,,,0113 275 1851,,,,Medium,,WY-0119
Phone (landline),Low,Meltham Convenience Store,Convenience Store,Meltham,HD9 4EJ,,,01484 618211,,,,Medium,Listed under Off Licences on Yell and as a convenience store on Gazette Live directory with matching address and phone.,WY-0120
Phone (landline),Low,Mount Pellon Newsagent,Newsagent,Halifax,HX2 0HA,,,01422 361609,,,,Medium,,WY-0122
Phone (landline),Low,Select Newsagent,Newsagent,Mirfield,WF14 0AB,,,01924 695779,,,,Medium,,WY-0144
Phone (landline),Low,Springfield Garage (Keighley),Petrol Station / Forecourt,Keighley,BD21 1QQ,,,01535 604629,,,,Medium,"Long-established family limited company (very old CH number 00871540, 1960s incorporation) running a Gulf-branded forecourt on Oakworth Road. Open 6am-10pm daily per directory listing.",WY-0152
Phone (landline),Low,Thornhill Convenience Store,Convenience Store,Dewsbury,WF12 9DZ,,,01924 462478,,,,Medium,,WY-0164
Phone (landline),Low,Todmorden Newscentre,Newsagent,Todmorden,OL14 5AQ,,,01706 819889,,,,Medium,"SIC: retail sale in non-specialised stores with food, beverages or tobacco predominating. Micro company. Registered office address uses the historic 'Lancashire' postal county; the town is in Calderda",WY-0165
Phone (landline),Low,Vaporized Meanwood,Vape Shop,Leeds,LS6 4HY,,,0113 274 8997,,,,Low,Directory sources conflict on address: 16 Stonegate Road LS6 4HY (ecigdirectory) vs 591 Meanwood Road LS6 4AY (yellowpages.net). Needs on-the-ground verification.,WY-0183
