Priority,Business Name,Category,Town,County,Region,Mobile,WhatsApp Link,Website,Data Confidence,Notes,Record ID
High,Evapo Vape Shop Guildford,Vape Shop,Guildford,Surrey,South East,07342 994134,https://wa.me/447342994134,https://evapo.co.uk/vape-shops/guildford,Medium,,UK-002183
High,Evapo Vape Shop Redhill,Vape Shop,Redhill,Surrey,South East,07393 140835,https://wa.me/447393140835,https://evapo.co.uk/vape-shops/redhill,Medium,,UK-002184
High,Evapo Vape Shop Sutton,Vape Shop,Sutton,Surrey,South East,07741 626328,https://wa.me/447741626328,https://evapo.co.uk/vape-shops/sutton,Medium,,UK-002185
High,Ezi Vape Skipton,Vape Shop,Skipton,North Yorkshire,Yorkshire & Humber,07967 075860,https://wa.me/447967075860,https://www.ezi-vape.co.uk/,Low,"Small independent vape chain (ezi-vape.co.uk) with the main branch at 25 High Street, Skipton (BD23) plus shops in Barnoldswick and Ilkley. Full Skipton postcod",UK-000198
High,Go Vapour Andover,Vape Shop,Andover,Hampshire,South East,07557 344214,https://wa.me/447557344214,https://www.govapour.com/,Medium,Andover & Newbury vape stores.,UK-002201
High,Grizzly Vape Shop,Vape Shop,Harlow,Essex,East of England,07716 911573,https://wa.me/447716911573,https://www.grizzlyvapeshop.co.uk/,Medium,"A second branch (Grizzly Vape Shop Xpress) operates at Bush Fair, Harlow CM18 6LX.",UK-001738
High,KPM Vapes,Vape Shop,Huddersfield,West Yorkshire,Yorkshire & Humber,07463 530406,https://wa.me/447463530406,,Medium,"Second branch at 289 Tong Street, Bradford BD4 9QS (outside Kirklees). Email seen in Yellowtom directory listing, not on an owned page, so marked Unverified. Al",WY-0015
High,New Age Smoke - Armagh,Vape Shop,Armagh,County Armagh,Northern Ireland,07845 697508,https://wa.me/447845697508,https://www.newagesmoke.com/,Medium,"Locations in Armagh, Newry, Middletown plus Monaghan and Castleblayney (RoI).",UK-002530
High,New Age Vapes,Vape Shop,Welwyn Garden City,Hertfordshire,East of England,07598 389030,https://wa.me/447598389030,,Medium,,UK-001998
High,OVS Christchurch Vape Shop,Vape Shop,Christchurch,Dorset,South West,07845 604898,https://wa.me/447845604898,,Medium,"Part of the Original Vape Shop (OVS) group, which also has Ferndown/West Moors branches.",UK-001784
High,RicherVapes,Vape Shop,York,North Yorkshire,Yorkshire & Humber,07879 654682,https://wa.me/447879654682,https://richervapes.com/,Medium,"Independent York city-centre vape shop. Own website richervapes.com; shop-info page gives address 2 Skeldergate, phone and gmail contact, all surfaced via searc",UK-000271
High,Riley's Vapes,Vape Shop,Wickford,Essex,East of England,07886 815770,https://wa.me/447886815770,https://rileysvapes.co.uk/,Low,Email and phone published on the shop's directory/social listing.,UK-002024
High,Scotvapes,Vape Shop,Glasgow,Glasgow City,Scotland,07426 533474,https://wa.me/447426533474,https://scotvapes.com/,Low,"Scotvapes second store on Woodlands Road, two-minute walk from Sauchiehall Street (West End / Charing Cross). Street-level house number not confirmed in snippet",UK-000726
High,Stratford Vapes,Vape Shop,Stratford-upon-Avon,Warwickshire,West Midlands,07727 219636,https://wa.me/447727219636,https://www.stratfordvapes.co.uk/,Medium,Email info@vapormail.co.uk published in directory listing; trades as Stratford Vapes / Vapormail UK.,UK-001356
High,Superior E-Liquid - Waterloo Street,Vape Shop,Londonderry,County Londonderry,Northern Ireland,07428 968716,https://wa.me/447428968716,,Low,Street/house number varies across listings (Waterloo Street / Waterloo Place). Sister store in Richmond Centre.,UK-002556
High,The Vape Centre (Wetherby),Vape Shop,Wetherby,West Yorkshire,Yorkshire & Humber,07388 892397,https://wa.me/447388892397,http://www.thevapecentre.co.uk/,Medium,"Second branch at 2 Gillygate, York (The Vape Centre York/Wetherby). Legal name 'Vape Centre Wetherby Ltd' per Cylex listing title - not yet verified at Companie",WY-0031
High,The Vape Shack Beverley,Vape Shop,Beverley,East Riding of Yorkshire,Yorkshire & Humber,07359 267997,https://wa.me/447359267997,https://www.vape-shack.co.uk,Medium,Beverley store of Vape Shack (own website vape-shack.co.uk). A separately-branded 'Vape Shack Immingham' operates at 70 Pelham Rd; shared parent inferred from c,UK-000220
High,Vape Express,Vape Shop,Welshpool,Powys,Wales,07389 112840,https://wa.me/447389112840,https://www.vapeexpressonline.co.uk/,High,'Mid Wales' #1 vape team'. Owner Isaac Richards expanded from a market stall. Also operates a Newtown store (Newtown Street).,UK-002607
High,Vape and Juice Margate,Vape Shop,Margate,Kent,South East,07411 717147,https://wa.me/447411717147,https://vapeandjuice.co.uk/pages/margate-vape-juices,Medium,Vape & Juice's Margate store.,UK-002271
High,Vapers Place,Vape Shop,Corby,Northamptonshire,East Midlands,07720 390761,https://wa.me/447720390761,https://vapersplace.co.uk/,Medium,Independent Corby vape shop; also a store at Corby Oasis Retail Park (Willow Place).,UK-001516
High,Winsome Vape,Vape Shop,Wigan,Greater Manchester,North West,07578 968986,https://wa.me/447578968986,https://www.winsomevape.co.uk/,Medium,"Independent vape stall in Wigan Indoor Market with own website. Publicly listed contact email is a personal-style Yahoo address (recorded as published, not attr",UK-000413
Medium,Amazo Vape Shop and CBD,Vape Shop,Blackburn,Lancashire,North West,07476 016464,https://wa.me/447476016464,,Medium,"Independent vape and CBD shop, Livingstone Road, Blackburn. From directory search results.",UK-000875
Medium,Anarchy Vapes,Vape Shop,Newcastle upon Tyne,Tyne and Wear,North East,07516 615241,https://wa.me/447516615241,https://www.anarchyvapes.com,Medium,"Welbeck Road, Walker/Byker area. ANARCHY VAPES LTD (10821454) shows as dissolved on Companies House; verify current trading entity.",UK-000999
Medium,Ben's Co E-Liquids,Vape Shop,Newton Aycliffe,County Durham,North East,07498 216326,https://wa.me/447498216326,https://bens-co-e-liquids.ueniweb.com/,Low,,UK-001146
Medium,Big Vape Club,Vape Shop,Gateshead,Tyne and Wear,North East,07751 911092,https://wa.me/447751911092,https://big-vape-club.business.site,Medium,"Vape shop / coffee house on Coatsworth Road, Gateshead.",UK-001002
Medium,Bolton Vape Store,Vape Shop,Bolton,Greater Manchester,North West,07478 718602,https://wa.me/447478718602,https://boltonvape.com/,Medium,Independent Bolton-based vape retailer with own website and physical unit at Britannia Way (BL2 2HH). Contact page lists mobile number; no email captured from s,UK-000347
Medium,Boston Vape,Vape Shop,Boston,Lincolnshire,East Midlands,07930 665954,https://wa.me/447930665954,https://bostonvape.co.uk,Medium,"Independent vape shop on Church Street, Boston.",UK-001537
Medium,Brackley Vape Shop,Vape Shop,Brackley,Northamptonshire,East Midlands,07541 213702,https://wa.me/447541213702,,Medium,Described as the only independent vape shop in Brackley; over 100 vape juice flavours in stock.,UK-001539
Medium,Burleigh Phone & Vape Shop,Vape Shop,Cambridge,Cambridgeshire,East of England,07311 848294,https://wa.me/447311848294,,Medium,,UK-001927
Medium,Cheeky Smoke,Vape Shop,Worthing,West Sussex,South East,07500 015475,https://wa.me/447500015475,https://www.cheekysmoke.co.uk/,Medium,"Independent electronic cigarette shop on Ham Road, Worthing.",UK-002332
Medium,Cloudies Vape Shop,Vape Shop,Luton,Bedfordshire,East of England,07562 988340,https://wa.me/447562988340,,Low,,UK-001939
Medium,Coffee and Clouds Vape Store,Vape Shop,Caterham,Surrey,South East,07955 585740,https://wa.me/447955585740,,Medium,,UK-002337
Medium,CoreVape Ryde,Vape Shop,Ryde,Isle of Wight,South East,07496 412974,https://wa.me/447496412974,,Medium,,UK-002338
Medium,Cumbria Vapes,Vape Shop,Carlisle,Cumbria,North West,07534 446947,https://wa.me/447534446947,,Medium,Operates from two units at Carlisle Market Hall; established May 2018 by Leighton John Dodds. Owner and company fined in 2023 for over-capacity counterfeit disp,UK-001012
Medium,Diamond Vapes - Coleraine,Vape Shop,Coleraine,County Londonderry,Northern Ireland,07443 655735,https://wa.me/447443655735,,Low,,UK-002656
Medium,E-cig & Gadget Shop,Vape Shop,Rochdale,Greater Manchester,North West,07544 490446,https://wa.me/447544490446,,Low,"Independent vape and gadget shop on Yorkshire Street, Rochdale. Postcode not confirmed.",UK-000357
Medium,Easi-Vape,Vape Shop,Bishop Auckland,County Durham,North East,07936 490713,https://wa.me/447936490713,https://easi-vape.com/,Medium,,UK-001162
Medium,Electric Mist Coalville,Vape Shop,Coalville,Leicestershire,East Midlands,07752 135133,https://wa.me/447752135133,,Low,"Vape shop in Coalville, well-reviewed for service. Address/phone from Cylex/Yelp listings.",UK-001559
Medium,Electro Mist,Vape Shop,Devizes,Wiltshire,South West,07957 440769,https://wa.me/447957440769,,Low,Likely related to Electromist Melksham.,UK-001713
Medium,Electromist Aldershot,Vape Shop,Aldershot,Hampshire,South East,07506 040772,https://wa.me/447506040772,,Medium,,UK-002346
Medium,Emporium Vapez,Vape Shop,Dewsbury,West Yorkshire,Yorkshire & Humber,07375 706970,https://wa.me/447375706970,,Medium,,WY-0083
Medium,Empower Vape Coalville,Vape Shop,Coalville,Leicestershire,East Midlands,07723 540892,https://wa.me/447723540892,,Low,Vape shop in Coalville. Address/phone from Cylex listing.,UK-001560
Medium,Evapo,Vape Shop,Salisbury,Wiltshire,South West,07355 697594,https://wa.me/447355697594,https://evapo.co.uk/vape-shops/salisbury,Medium,Evapo national chain branch on Salisbury Market Square. Over 800 products in store.,UK-001721
Medium,Evapo,Vape Shop,Taunton,Somerset,South West,07586 067456,https://wa.me/447586067456,https://evapo.co.uk/vape-shops/taunton,Medium,Evapo national chain branch in Taunton.,UK-001723
Medium,Evapo - Bedford,Vape Shop,Bedford,Bedfordshire,East of England,07766 581694,https://wa.me/447766581694,https://evapo.co.uk/,Medium,,UK-001718
Medium,Evapo - Soho (Denman Street),Vape Shop,London,Greater London,London,07388 995052,https://wa.me/447388995052,https://evapo.co.uk/vape-shops/denman-st,Medium,"Soho branch of the Evapo regional vape chain, near Piccadilly Circus. Address/postcode/phone from Yelp and Evapo store page shown in search snippets; direct sit",UK-000554
Medium,Evapo Basingstoke,Vape Shop,Basingstoke,Hampshire,South East,07393 019474,https://wa.me/447393019474,https://evapo.co.uk/vape-shops/basingstoke,Medium,,UK-002186
Medium,Evapo Bournemouth,Vape Shop,Bournemouth,Dorset,South West,07553 574776,https://wa.me/447553574776,https://evapo.co.uk/vape-shops/bournemouth,Medium,Branch of the national Evapo chain.,UK-001725
Medium,Evapo Brighton,Vape Shop,Brighton,East Sussex,South East,07586 067460,https://wa.me/447586067460,https://evapo.co.uk/vape-shops/brighton,Medium,"National Evapo chain branch, North Street Brighton.",UK-002187
Medium,Evapo Crawley,Vape Shop,Crawley,West Sussex,South East,07392 868681,https://wa.me/447392868681,https://evapo.co.uk/vape-shops/crawley,Medium,"Evapo branch on The Broadway, Crawley, near the Pavilions shopping centre.",UK-002188
Medium,Evapo Cwmbran,Vape Shop,Cwmbran,Torfaen,Wales,07538 576059,https://wa.me/447538576059,https://evapo.co.uk/vape-shops/cwmbran,Medium,,UK-002511
Medium,Evapo Eastleigh,Vape Shop,Eastleigh,Hampshire,South East,07903 375482,https://wa.me/447903375482,,Medium,,UK-002190
Medium,Evapo Hanley,Vape Shop,Stoke-on-Trent,Staffordshire,West Midlands,07398 831341,https://wa.me/447398831341,https://evapo.co.uk/vape-shops/hanley,Medium,,UK-001238
Medium,Evapo Hastings,Vape Shop,Hastings,East Sussex,South East,07468 476454,https://wa.me/447468476454,https://evapo.co.uk/vape-shops/hastings,Medium,"Evapo branch at 5a Queens Road, Hastings, near Priory Meadow Shopping Centre.",UK-002191
Medium,Evapo Norwich,Vape Shop,Norwich,Norfolk,East of England,07301 152211,https://wa.me/447301152211,https://evapo.co.uk/vape-shops/norwich,Medium,"Branch of the Evapo national chain (50+ stores). Opened in Haymarket, Norwich city centre in 2024.",UK-001727
Medium,Evapo Portsmouth,Vape Shop,Portsmouth,Hampshire,South East,07392 195208,https://wa.me/447392195208,https://evapo.co.uk/vape-shops/portsmouth,Medium,,UK-002194
Medium,Evapo Vape Shop - Bracknell,Vape Shop,Bracknell,Berkshire,South East,07432 343336,https://wa.me/447432343336,https://evapo.co.uk/vape-shops/bracknell,Medium,"Branch of national Evapo chain in The Lexicon, Bracknell.",UK-002179
Medium,Evapo Vape Shop - High Wycombe,Vape Shop,High Wycombe,Buckinghamshire,South East,07388 997036,https://wa.me/447388997036,https://mywycombe.com/places/evapo/,Medium,"Branch of national Evapo chain, High Wycombe.",UK-002180
Medium,Evapo Vape Shop - Reading,Vape Shop,Reading,Berkshire,South East,07881 016165,https://wa.me/447881016165,https://evapo.co.uk/vape-shops/reading,Medium,Branch of national Evapo chain.,UK-002181
Medium,Evapo Weymouth,Vape Shop,Weymouth,Dorset,South West,07399 734432,https://wa.me/447399734432,https://evapo.co.uk/vape-shops/weymouth,Medium,"Branch of national Evapo chain, next to Lloyds Bank & WHSmith.",UK-001731
Medium,Flavour Vapour (Dundee),Vape Shop,Dundee,Dundee City,Scotland,07876 661556,https://wa.me/447876661556,https://www.flavourvapour.co.uk/stores,Medium,"Described as Tayside's original and best vape shop, est 2012. Part of the Flavour Vapour chain.",UK-002514
Medium,Flybox Aldershot,Vape Shop,Aldershot,Hampshire,South East,07595 779587,https://wa.me/447595779587,https://flybox.uk/,Medium,,UK-002352
Medium,FonFix & Vape Shop,Vape Shop,Grimsby,Lincolnshire,Yorkshire & Humber,07404 435088,https://wa.me/447404435088,,Low,Combined phone-repair and vape shop on Freeman Street. Postcode incomplete in sources (DN32 area).,UK-000247
Medium,G & K E-Cigs,Vape Shop,Billingham,Teesside,North East,07779 406501,https://wa.me/447779406501,,Medium,"Supplies a large range of e-cigarettes, accessories and juice.",UK-001166
Medium,Gags Vape Shop,Vape Shop,Tamworth,Staffordshire,West Midlands,07309 781521,https://wa.me/447309781521,https://gags.ueniweb.com/,Medium,,UK-001314
Medium,Grimsby Toys and Vapes,Vape Shop,Grimsby,Lincolnshire,Yorkshire & Humber,07429 286555,https://wa.me/447429286555,,Low,Independent vape/toy shop in Grimsby town centre (Pasture Street). No postcode in sources.,UK-000252
Medium,Guardian Vape,Vape Shop,South Shields,Tyne and Wear,North East,07474 858548,https://wa.me/447474858548,https://guardianvape.co.uk/,Medium,"Vape shop on Frederick Street, South Shields. Registered as Guardian Vape Ltd (11124557).",UK-001022
Medium,Hanley Vapour Stop,Vape Shop,Stoke-on-Trent,Staffordshire,West Midlands,07539 342195,https://wa.me/447539342195,https://stokevapestop.co.uk/,Medium,Associated with Stoke Vape Stop (stokevapestop.co.uk).,UK-001317
Medium,Heron Vape,Vape Shop,Frome,Somerset,South West,07432 119567,https://wa.me/447432119567,,Medium,"Open Mon-Sat 08:30-17:30, closed Sunday. Trades as Heronvape UK Ltd.",UK-001974
Medium,Huff & Puff Vapes Stone,Vape Shop,Stone,Staffordshire,West Midlands,07792 243168,https://wa.me/447792243168,,Medium,,UK-001320
Medium,I Love 2vape Cumbernauld,Vape Shop,Cumbernauld,North Lanarkshire,Scotland,07828 100010,https://wa.me/447828100010,,Low,"Independent vape shop, Spey Walk, Cumbernauld.",UK-002675
Medium,Innovape,Vape Shop,Newcastle upon Tyne,Tyne and Wear,North East,07883 337268,https://wa.me/447883337268,,Medium,"Vape shop on Grainger Street, Newcastle city centre.",UK-001030
Medium,Ivaporewaves Worksop,Vape Shop,Worksop,Nottinghamshire,East Midlands,07481 818271,https://wa.me/447481818271,,Medium,"Independent vape shop at 45 Bridge Place, Worksop.",UK-001577
Medium,KeyVapours Trago Mills,Vape Shop,Merthyr Tydfil,Merthyr Tydfil,Wales,07380 362354,https://wa.me/447380362354,,Medium,,UK-002517
Medium,Kidderminster Vape Store,Vape Shop,Kidderminster,Worcestershire,West Midlands,07746 143455,https://wa.me/447746143455,,Low,Shares 103 Coventry Street with 'Horizon Vape Store' listing - possibly the same premises; not confirmed.,UK-001327
Medium,La Vape Shop,Vape Shop,Ramsgate,Kent,South East,07805 250140,https://wa.me/447805250140,,Medium,Independent vape shop selling starter/advanced kits and custom juice.,UK-002373
Medium,Liquid Mafia The King of Vapes,Vape Shop,Dewsbury,West Yorkshire,Yorkshire & Humber,07512 340800,https://wa.me/447512340800,,Medium,Open 10:30-22:00 daily. Instagram bio lists an alternative mobile 07746 183134.,WY-0110
Medium,Little Vape Cave,Vape Shop,Whitehaven,Cumbria,North West,07543 355885,https://wa.me/447543355885,,Medium,"Independent vape shop on Sneckyeat Road Industrial Estate, Whitehaven.",UK-001035
Medium,London Fog Vapery,Vape Shop,Islington,Greater London,London,07754 181177,https://wa.me/447754181177,,Medium,"Independent vape shop, Hornsey Road (Islington/Holloway border). Address/postcode/phone from Yell/Cylex directory listing.",UK-000629
Medium,Lots Of Vape,Vape Shop,Liverpool,Merseyside,North West,07852 392659,https://wa.me/447852392659,,Low,"Independent vape shop on Forefield Lane, Crosby (L23, Sefton). Address/phone from Waterloo/Sefton vape shop directory search.",UK-000797
Medium,MTM Vapes,Vape Shop,Coventry,West Midlands,West Midlands,07488 561172,https://wa.me/447488561172,https://mtmvapes.co.uk/,Medium,Vape store with lounge; also a UK online supplier.,UK-001331
Medium,Ministry of Vape Great Yarmouth,Vape Shop,Great Yarmouth,Norfolk,East of England,07889 315159,https://wa.me/447889315159,,Medium,Ministry of Vape also operates branches in Dereham and Wymondham.,UK-001766
Medium,Miracle CBD & Vape Shop Chichester,Vape Shop,Chichester,West Sussex,South East,07467 085773,https://wa.me/447467085773,,Medium,"CBD and vape shop on East Street, Chichester, next to Pret A Manger.",UK-002379
Medium,Mobile Tech & Vape,Vape Shop,Falkirk,Falkirk,Scotland,07450 116416,https://wa.me/447450116416,,Low,"Independent vape and mobile-accessory shop on Grahams Road, Falkirk. Details from Yell/Cylex Falkirk vape listing snippet.",UK-000804
Medium,Mount Vapes,Vape Shop,Halifax,West Yorkshire,Yorkshire & Humber,07843 846154,https://wa.me/447843846154,https://mountvapes.co.uk/,Medium,Shop in the Boothtown area of Halifax with its own website and Facebook page; street address not obtainable (website fetch blocked by network egress proxy).,WY-0123
Medium,Mr Phone and Vape Leatherhead,Vape Shop,Leatherhead,Surrey,South East,07853 708604,https://wa.me/447853708604,https://theswancentre.co.uk/mr-phone-and-vape/,Low,,UK-002380
Medium,Newport Vape Shop,Vape Shop,Newport,Newport,Wales,07386 854503,https://wa.me/447386854503,,Medium,,UK-002693
Medium,Northern Vape,Vape Shop,Belfast,Belfast,Northern Ireland,07999 966944,https://wa.me/447999966944,,Low,Belfast city-centre vape shop.,UK-002694
Medium,Not Just Vape,Vape Shop,Middlesbrough,Teesside,North East,07903 866298,https://wa.me/447903866298,https://notjustvape.co.uk,High,"Independent vape shop on Linthorpe Road serving Middlesbrough, Stockton and Redcar.",UK-001175
Medium,PC Mobile Repair & Vape Shop Caterham,Vape Shop,Caterham,Surrey,South East,07582 362566,https://wa.me/447582362566,,Low,,UK-002384
Medium,Phoenix Phone & Vape Shop Aldershot,Vape Shop,Aldershot,Hampshire,South East,07931 779957,https://wa.me/447931779957,,Low,,UK-002386
Medium,Phones & Vapes Kings Heath,Vape Shop,Birmingham,West Midlands,West Midlands,07516 034606,https://wa.me/447516034606,,Low,Independent vape/phone-accessory shop on Kings Heath High Street.,UK-000501
Medium,Prestatyn Vapours,Vape Shop,Prestatyn,Denbighshire,Wales,07572 398232,https://wa.me/447572398232,,High,"Private limited company incorporated 30 March 2022, currently active.",UK-002698
Medium,Puffpufflab,Vape Shop,Devizes,Wiltshire,South West,07565 866845,https://wa.me/447565866845,,Low,,UK-002021
Medium,Pure Puff Vape Shop - Coleraine,Vape Shop,Coleraine,County Londonderry,Northern Ireland,07827 965195,https://wa.me/447827965195,,Low,,UK-002700
Medium,Roses Vape,Vape Shop,Burton upon Trent,Staffordshire,West Midlands,07476 887788,https://wa.me/447476887788,,Medium,,UK-001342
Medium,School Of Vape Paignton,Vape Shop,Paignton,Devon,South West,07867 427264,https://wa.me/447867427264,,Low,"Dartmouth Road, Paignton.",UK-002029
Medium,Selby Vapes,Vape Shop,Selby,North Yorkshire,Yorkshire & Humber,07772 913458,https://wa.me/447772913458,,Medium,"Independent Selby vape shop established 2020, open 7 days. Address 24 Abbots Court and mobile number from eCig Directory / Bizify / Cylex / Nextdoor listings vi",UK-000276
Medium,Severn Valley Vapes,Vape Shop,Bridgnorth,Shropshire,West Midlands,07961 072099,https://wa.me/447961072099,,Medium,Note: a separate company 'Bridgnorth Vapes Ltd' (Companies House 15151159) was registered at 2 Bridge Street and dissolved 25 Feb 2025 - not confirmed to be the,UK-001347
Medium,Smokers Paradise Rhyl,Vape Shop,Rhyl,Denbighshire,Wales,07388 032667,https://wa.me/447388032667,https://smokersparadiserhyl.co.uk/,Medium,Opposite NatWest bank; offers online ordering with local delivery.,UK-002708
Medium,Smokey Joez,Vape Shop,Cannock,Staffordshire,West Midlands,07804 444467,https://wa.me/447804444467,,Medium,,UK-001351
Medium,Smooth Vapourz,Vape Shop,Hartlepool,County Durham,North East,07789 692993,https://wa.me/447789692993,https://www.smoothvapourz.co.uk/,Medium,Leading vape/e-cigarette shop in Hartlepool. Trades as Smooth Vapourz Ltd per Firmania listing.,UK-001189
Medium,Smooth Vapourz,Vape Shop,Stockton-on-Tees,Teesside,North East,07553 962974,https://wa.me/447553962974,https://www.smoothvapourz.co.uk,Medium,"Located in Norton, Stockton-on-Tees.",UK-001190
Medium,Stourbridge Gadgets And Vape House LTD,Vape Shop,Stourbridge,West Midlands,West Midlands,07884 477704,https://wa.me/447884477704,,Medium,"Independent vape and gadget shop in Stourbridge, offering vapes, smoking accessories, hookah, phone repairs and mobiles. Name and mobile from Facebook page snip",UK-000519
Medium,Super Vapes Coatbridge,Vape Shop,Coatbridge,North Lanarkshire,Scotland,07545 151511,https://wa.me/447545151511,,Medium,"Independent vape shop in Quadrant Shopping Centre, Coatbridge.",UK-002712
Medium,The Braintree Vape Store,Vape Shop,Braintree,Essex,East of England,07594 454606,https://wa.me/447594454606,https://www.thebraintreevapestore.co.uk/,Low,Braintree vape store with click-and-collect; street address not captured in snippet.,UK-002050
Medium,The E-Cig Store Crewe,Vape Shop,Crewe,Cheshire,North West,07858 736517,https://wa.me/447858736517,,Medium,Crewe branch of The E-Cig Store regional vape chain.,UK-000869
Medium,The E-cig Shop - Newtownards,Vape Shop,Newtownards,County Down,Northern Ireland,07990 720942,https://wa.me/447990720942,,Low,,UK-002719
Medium,The Original Vape Shop,Vape Shop,Basingstoke,Hampshire,South East,07531 900400,https://wa.me/447531900400,https://www.vapeshopbasingstoke.co.uk/,Medium,,UK-002426
Medium,The Vape Escape,Vape Shop,Buckley,Flintshire,Wales,07864 570969,https://wa.me/447864570969,,Medium,"Open Mon-Sat 9:00-17:00, closed Sunday.",UK-002721
Medium,The Vape Escape (Neath),Vape Shop,Neath,Neath Port Talbot,Wales,07958 567911,https://wa.me/447958567911,https://thevapeescape.co.uk/a/store-locator/the-vape-escape-neath.html,Medium,,UK-002568
Medium,The Vape Shack Great Yarmouth,Vape Shop,Great Yarmouth,Norfolk,East of England,07902 514012,https://wa.me/447902514012,,Low,"Vape shop at Market Place, Great Yarmouth.",UK-002070
Medium,The Vape Shop (Huyton),Vape Shop,Liverpool,Merseyside,North West,07894 970122,https://wa.me/447894970122,,Low,"Independent vape shop on Liverpool Road, Huyton (Knowsley).",UK-000827
Medium,The Vape Station - Coleraine,Vape Shop,Coleraine,County Londonderry,Northern Ireland,07715 396130,https://wa.me/447715396130,,Low,,UK-002722
Medium,The Vape Store Bolton,Vape Shop,Bolton,Greater Manchester,North West,07784 983386,https://wa.me/447784983386,,Medium,Independent vape shop on Derby Street. Companies House number confirms registered entity THE VAPE STORE BOLTON LTD (10227451). Postcode not confirmed in search ,UK-000391
Medium,The Vaping Lounge Rugeley,Vape Shop,Rugeley,Staffordshire,West Midlands,07415 867807,https://wa.me/447415867807,,Medium,,UK-001364
Medium,The Vaping Vixen,Vape Shop,Rushden,Northamptonshire,East Midlands,07943 347004,https://wa.me/447943347004,,Low,"Independent vape shop at 17-19 High Street, Rushden.",UK-001643
Medium,Troll Juice Company Exmouth,Vape Shop,Exmouth,Devon,South West,07477 705530,https://wa.me/447477705530,https://troll-juice.ueniweb.com/,Low,"High Street, Exmouth; wide range of mods, e-cigs, liquids and accessories.",UK-002085
Medium,Twilight2Go,Vape Shop,Finsbury Park,Greater London,London,07950 255905,https://wa.me/447950255905,,Medium,"Vape/convenience retailer on Seven Sisters Road, Finsbury Park. Address/postcode/phone from Yell directory listing.",UK-000671
Medium,Underworld Vapes,Vape Shop,Dundee,Dundee City,Scotland,07361 568587,https://wa.me/447361568587,https://underworldvapes.uk/,Medium,Vape superstore offering same-day local delivery. Two domains seen (underworldvapes.uk and .co.uk).,UK-002733
Medium,Unique Vaper,Vape Shop,Bootle,Merseyside,North West,07732 381513,https://wa.me/447732381513,,Low,"Independent vape shop on Stanley Road, Bootle.",UK-000831
Medium,VAPE BAR (Paddington),Vape Shop,London,Greater London,London,07727 485503,https://wa.me/447727485503,,Medium,Independent vape shop on the Edgware Road strip. Address/postcode/phone from Cylex London listing snippet.,UK-000673
