Priority,Business Name,Category,Town,Region,Email,Other Emails,Phone,Website,Record ID
High,Prime Vapour Irvine,Vape Shop,Irvine,Scotland,info@primevapour.co.uk,,01294 208880,https://primevapour.co.uk/,UK-002545
High,Prime Vapour Motherwell,Vape Shop,Motherwell,Scotland,info@primevapour.co.uk,,01698 253423,https://primevapour.co.uk/,UK-000719
High,Purple Haze Vaping,Vape Shop,Daventry,East Midlands,info@purplehazevaping.co.uk,,01327 437370,https://purplehazevaping.co.uk/,UK-001483
High,RicherVapes,Vape Shop,York,Yorkshire & Humber,richervapes@gmail.com,,07879 654682,https://richervapes.com/,UK-000271
High,Riley's Vapes,Vape Shop,Wickford,East of England,Rileysvapes@gmail.com,,07886 815770,https://rileysvapes.co.uk/,UK-002024
High,SMKD,Vape Shop,Halifax,Yorkshire & Humber,info@smkd.com,,,https://smkd.com/vape-shop-locator/smkd-halifax-vape-shop-market-street/,WY-0022
High,SMKD,Vape Shop,Hebden Bridge,Yorkshire & Humber,info@smkd.com,,01274 270303,https://smkd.com/vape-shop-locator/smkd-hebden-bridge-vape-shop-west-end/,WY-0023
High,SMKD,Vape Shop,Bradford,Yorkshire & Humber,info@smkd.com,,01274 270303,https://smkd.com/,WY-0140
High,SMKD - E Cigarettes and Vape Shop (Wakefield),Vape Shop,Wakefield,Yorkshire & Humber,info@smkd.com,,01924 728100,https://smkd.com,WY-0024
High,Scotvapes,Vape Shop,Glasgow,Scotland,glasgowhigh@scotvapes.com,,0141 258 7312,https://scotvapes.com/,UK-000725
High,Scotvapes,Vape Shop,Glasgow,Scotland,website@scotvapes.com,,07426 533474,https://scotvapes.com/,UK-000726
High,Scotvapes Paisley,Vape Shop,Paisley,Scotland,paisley@scotvapes.com,,0141 840 1087,https://scotvapes.com/paisley/,UK-002553
High,Simply ELiquid Failsworth,Vape Shop,Failsworth,North West,info@simplyeliquid.co.uk,,,https://www.simplyeliquid.co.uk/pages/simply-eliquid-failsworth-shop,UK-000320
High,Simply ELiquid Stockport,Vape Shop,Stockport,North West,info@simplyeliquid.co.uk,,0161 429 6016,https://www.simplyeliquid.co.uk/pages/simply-eliquid-stockport-shop,UK-000321
High,Stratford Vapes,Vape Shop,Stratford-upon-Avon,West Midlands,info@vapormail.co.uk,,07727 219636,https://www.stratfordvapes.co.uk/,UK-001356
High,The Ace Of Vapez - Codsall,Vape Shop,Wolverhampton,West Midlands,taovcodsall@gmail.com,,01902 276807,https://www.theaceofvapez.com/pages/retail-locations,UK-000444
High,The E-Cig Shop,Vape Shop,Chesterfield,East Midlands,enquiries@theecigshop.uk,,01246 232277,https://theecigshop.uk/,UK-001631
High,The Vape House Rushden,Vape Shop,Rushden,East Midlands,info@thevapehouserushden.co.uk,,01933 357508,https://thevapehouserushden.co.uk/,UK-001639
High,The Vape Shop Witham,Vape Shop,Witham,East of England,info@thevapeshopessex.co.uk,,01376 780087,https://thevapeshopessex.co.uk/witham,UK-001844
High,The Vapourist,Vape Shop,Chesterfield,East Midlands,team@thevapourist.co.uk,,0800 195 0077,https://thevapourist.co.uk/,UK-001645
High,Vaparama (Featherstone),Vape Shop,Featherstone,Yorkshire & Humber,shop@vaparama.co.uk,,,https://www.vaparama.co.uk,WY-0036
High,Vaparama (Pontefract),Vape Shop,Pontefract,Yorkshire & Humber,shop@vaparama.co.uk,,01977 277170,https://www.vaparama.co.uk,WY-0037
High,Vaparama (Wakefield),Vape Shop,Wakefield,Yorkshire & Humber,shop@vaparama.co.uk,,,https://www.vaparama.co.uk,WY-0038
High,Vape Direct - Buckingham,Vape Shop,Buckingham,South East,support@vapedirect.com,,01908 579888,https://vapedirect.com/pages/vape-direct-buckingham-vape-shop,UK-002274
High,Vape Direct - Neath Hill,Vape Shop,Milton Keynes,South East,support@vapedirect.com,,01908 579888,https://vapedirect.com/,UK-002275
High,Vape Direct - Stacey Bushes,Vape Shop,Milton Keynes,South East,support@vapedirect.com,,01908 579888,https://vapedirect.com/pages/vape-direct-stacey-bushes,UK-002276
High,Vape Express,Vape Shop,Welshpool,Wales,isaac@vapeexpressonline.co.uk,,07389 112840,https://www.vapeexpressonline.co.uk/,UK-002607
High,Vape Saloon,Vape Shop,Southport,North West,orders@vapesaloon.co.uk,orders@vapesaloon.co.uk,01704 532531,https://www.vapesaloon.co.uk/,UK-000834
High,Vape Shop No 1 Wirral - Bebington,Vape Shop,Birkenhead,North West,orders@vapeshopno1.co.uk,orders@vapeshopno1.co.uk,0151 208 1706,https://vapeshopno1.co.uk/,UK-000743
High,Vape Shop No 1 Wirral - Greasby,Vape Shop,Wirral,North West,orders@vapeshopno1.co.uk,orders@vapeshopno1.co.uk,0151 677 7533,https://vapeshopno1.co.uk/,UK-000744
High,Vape Shop No 1 Wirral - Prenton,Vape Shop,Birkenhead,North West,orders@vapeshopno1.co.uk,orders@vapeshopno1.co.uk,0151 652 0512,https://vapeshopno1.co.uk/,UK-000745
High,Vape Shop Outlet - Nuneaton,Vape Shop,Nuneaton,West Midlands,nuneaton@ecigwizard.com,,024 7518 9053,https://www.vapeshop.co.uk/pages/vape-shop-outlet-nuneaton,UK-001233
High,Vapeaholix,Vape Shop,Farnham,South East,info@vapeaholix.co.uk,,01483 928920,https://www.vapeaholix.co.uk/vape-shop-uk/,UK-002457
High,Vapemeister UK - Bangor,Vape Shop,Bangor,Northern Ireland,sales@vapemeisteruk.com,sales@vapemeisteruk.com,,https://vapemeisteruk.com/,UK-002609
High,Vaperites,Vape Shop,Pontefract,Yorkshire & Humber,vaperite@gmail.com,,01977 278484,https://vaperites.co.uk,WY-0180
High,Vapers Pantry,Vape Shop,Wolverhampton,West Midlands,sales@vaperspantry.com,sales@vaperspantry.com,01902 444090,https://vaperspantry.com/,UK-000538
High,Vapertrails St Ives,Vape Shop,St Ives,East of England,info@vapertrails.uk,,01480 700016,https://www.vapertrails.uk/,UK-001893
High,Vapertrails St Neots,Vape Shop,St Neots,East of England,info@vapertrails.uk,,01480 700110,https://www.vapertrails.uk/,UK-001894
High,Vapestore Dorking,Vape Shop,Dorking,South East,dorking@vapestore.co.uk,,01306 500558,https://www.vapestore.co.uk/vapestore-dorking/,UK-002286
High,Vapour Shack,Vape Shop,Stoke-on-Trent,West Midlands,contact@vapour-shack.com,,01782 533447,https://vapour-shack.com/,UK-001382
High,Winsome Vape,Vape Shop,Wigan,North West,awaisaliazhar@yahoo.com,,07578 968986,https://www.winsomevape.co.uk/,UK-000413
High,eCigarette Outlet,Vape Shop,Kingston upon Hull,Yorkshire & Humber,customer.service@ecigaretteoutlet.co.uk,,,https://ecigaretteoutlet.co.uk,UK-000227
High,eCigarette Outlet Cleethorpes,Vape Shop,Cleethorpes,Yorkshire & Humber,customer.service@ecigaretteoutlet.co.uk,,01472 694619,https://ecigaretteoutlet.co.uk,UK-000228
High,eCigarette Outlet Scunthorpe,Vape Shop,Scunthorpe,Yorkshire & Humber,customer.service@ecigaretteoutlet.co.uk,,,https://ecigaretteoutlet.co.uk,UK-000229
Medium,Cumbria Vapes,Vape Shop,Carlisle,North West,Cumbriavapes@gmail.com,,07534 446947,,UK-001012
Medium,Digital Vapers,Vape Shop,Newton Aycliffe,North East,digitalvapers@outlook.com,,01325 324286,https://www.digital-vapers.com/,UK-001159
Medium,E-cig & Gadget Shop,Vape Shop,Rochdale,North West,admin@ecig-gadgets.com,,07544 490446,,UK-000357
Medium,Every Cloud Vape Shop,Vape Shop,Christchurch,South West,customerservice@everycloudvapeshop.co.uk,,01202 801238,https://everycloudvapeshop.co.uk,UK-001957
Medium,Hanley Vapour Stop,Vape Shop,Stoke-on-Trent,West Midlands,contact@stokevapestop.co.uk,,07539 342195,https://stokevapestop.co.uk/,UK-001317
Medium,House of Vapez Rochdale,Vape Shop,Rochdale,North West,houseofvapezROCHDALE@gmail.com,,01706 458162,,UK-000361
Medium,The Vape House Wellingborough,Vape Shop,Wellingborough,East Midlands,vapehousewellingborough@gmail.com,,01933 276163,,UK-001640
Medium,VVAPES,Vape Shop,Birmingham,West Midlands,info@vvapes.co.uk,,,https://vvapes.co.uk/,UK-000531
Medium,Vape Bar Bridgnorth,Vape Shop,Bridgnorth,West Midlands,h2ovapeslimited@gmail.com,,07778 204442,,UK-001372
Medium,Vape Nation UK,Vape Shop,Huddersfield,Yorkshire & Humber,info@vapenationeshop.co.uk,,07809 655738,https://vapenationeshop.co.uk/,WY-0174
Medium,Vapelab Bedlington,Vape Shop,Bedlington,North East,vapelabbedlington@gmail.com,,,,UK-001206
Medium,Vapers Dungeon,Vape Shop,Stanley,North East,Vapersdungeon110@gmail.com,,07743 573398,,UK-001208
Medium,Wimborne Vape,Vape Shop,Wimborne Minster,South West,wimbornevape@gmail.com,,01202 884387,https://www.wimbornevape.co.uk/,UK-002147
Medium,Rawal Lounge Sheffield,Smoke / Shisha Shop,Sheffield,Yorkshire & Humber,rawalloungesheffield@hotmail.com,,,,UK-000268
High,1865 Cigars (Huddersfield),Tobacco Specialist,Huddersfield,Yorkshire & Humber,sales@1865cigars.com,sales@1865cigars.com,01484 530457,https://1865cigars.com/,WY-0001
High,Cheapasmokes,Tobacco Specialist,Halifax,Yorkshire & Humber,sales@cheapasmokes.com,,01422 355554,https://www.cheapasmokes.com/pages/cheapasmokes-halifax,WY-0011
High,Ryans The Tobacconist,Tobacco Specialist,Leeds,Yorkshire & Humber,Ryans.2000@outlook.com,,0113 242 2585,https://www.ryanstobacconist.co.uk/,WY-0139
High,Smoke-King Tobacconist,Tobacco Specialist,Otley,Yorkshire & Humber,enquiries@smoke-king.co.uk,,0113 217 7723,https://www.smoke-king.co.uk/,WY-0148
Medium,Surrey Cigars Ltd,Tobacco Specialist,Guildford,South East,info@surreycigars.com,,,https://www.surreycigars.com/,UK-002416
High,Beer Ritz,Off-Licence,Leeds,Yorkshire & Humber,sales@beerritz.co.uk,,0113 275 3464,https://www.beerritz.co.uk/,WY-0061
High,Martinez Wines,Off-Licence,Ilkley,Yorkshire & Humber,shop@martinez.co.uk,,01943 600000,https://martinez.co.uk/,WY-0118
Medium,Latitude Wine & Liquor Merchant,Off-Licence,Leeds,Yorkshire & Humber,sales@latitudewine.co.uk,,0113 245 3393,https://latitudewine.co.uk/,WY-0108
Medium,Wine Raks,Off-Licence,Aberdeen,Scotland,tariq@wineraks.com,,01224 467404,https://www.wineraks.com/,UK-002760
Medium,Kasa Beeston Convenience Store,Convenience Store,Leeds,Yorkshire & Humber,info@kasabeeston.com,,0113 277 5757,https://kasabeeston.com/,WY-0102
High,Fodder,Independent Supermarket,Harrogate,Yorkshire & Humber,enquiries@fodder.co.uk,,01423 546111,https://fodder.co.uk/,UK-000226
High,Manchester Superstore Bradford,Independent Supermarket,Bradford,Yorkshire & Humber,mssbradford01@gmail.com,,01274 668800,https://manchestersuperstores.co.uk/store-locations/manchester-super-stores-in-bradford/,WY-0018
High,Mwanaka Fresh Farm Foods,Independent Supermarket,Walsall,West Midlands,mail@mwanakafreshfarmfoods.com,,0808 502 2711,https://mwanakafreshfarmfoods.com/,UK-000433
High,Sing Kee Foods (Sheepscar),Independent Supermarket,Leeds,Yorkshire & Humber,wholesale@singkeefoods.co.uk,,0113 898 0168,https://singkeefoods.co.uk/gb/,WY-0026
High,Worldwide Foods Bradford (Great Horton Road),Independent Supermarket,Bradford,Yorkshire & Humber,info@worldwidefoods.co.uk,,01274 572661,https://worldwidefoods.co.uk/,WY-0044
Medium,FreshCo Wakefield,Independent Supermarket,Wakefield,Yorkshire & Humber,Hoa1@hotmail.co.uk,,01924 781869,https://freshcowakefield.com,WY-0086
Medium,Javid Supermarket,Independent Supermarket,Huddersfield,Yorkshire & Humber,contact@javidsupermarket.co.uk,,01484 517411,https://www.javidsupermarket.co.uk/,WY-0100
Medium,Pakeezah Superstore,Independent Supermarket,Bradford,Yorkshire & Humber,info@pakeezah.com,,01274 739500,https://www.pakeezah.com/,WY-0130
Medium,Cote Hill Filling Station,Petrol Station / Forecourt,Halifax,Yorkshire & Humber,cotehillhalifax@gmail.com,,01422 835350,https://www.cotehillhalifax.co.uk/,WY-0077
High,Barry's Cash & Carry,Cash & Carry,Halifax,Yorkshire & Humber,info@cutpricebarrys.co.uk,,01422 646060,http://www.cutpricebarrys.co.uk/,WY-0059
High,Best Choice Wholesale,Cash & Carry,Leeds,Yorkshire & Humber,info@bestchoicewholesale.co.uk,,0113 531 6345,https://www.bestchoicewholesale.co.uk/,WY-0063
High,Halal Sweets Company,Cash & Carry,Bradford,Yorkshire & Humber,support@halalsweetscompany.co.uk,,,https://halalsweets.company.site/,WY-0093
High,TB Cash & Carry (Bradford),Cash & Carry,Bradford,Yorkshire & Humber,info@tbcashandcarry.co.uk,,01274 740555,https://tbcashandcarry.co.uk/,WY-0029
High,TB Cash & Carry (Leeds),Cash & Carry,Leeds,Yorkshire & Humber,info@tbcashandcarry.co.uk,,0113 245 1454,https://tbcashandcarry.co.uk/,WY-0030
High,Target Cash and Carry,Cash & Carry,Guisborough,North East,admin@targetneltd.co.uk,,07587 910000,https://targetneltd.co.uk/,UK-001124
High,Thali Outlet,Cash & Carry,Leeds,Yorkshire & Humber,sales@thalioutlet.com,sales@thalioutlet.com,0113 394 8000,https://www.thalioutlet.com/,WY-0158
Medium,AT Wholesale Ltd,Cash & Carry,Wolverhampton,West Midlands,admin@atwholesale.uk,,07939 332902,,UK-000452
Medium,Batley Bargain Centre,Other Relevant Retail,Batley,Yorkshire & Humber,javorange@yahoo.co.uk,,01924 475600,https://www.batleybargaincentre.com/,WY-0060
