Parent Company,Locations in DB,Type,Categories,Regions,Sample Towns,Entry Email,Entry Phone,Website
Vapestore,13,National Chain,Vape Shop,South East; South West; West Midlands,Basingstoke; Bournemouth; Bracknell; Dorking; Guildford; Havant…,dorking@vapestore.co.uk,01306 500558,https://www.vapestore.co.uk/pages/store-locations/vapestore-basingstoke
Premier,12,Franchise / Symbol Group,Convenience Store; Petrol Station / Forecourt,East of England; North West; Wales,Barry; Basildon; Chatteris; Colchester; Grays; Harlow…,,01945 410287,https://www.premier-stores.co.uk/our-stores/ar-stores
Tidal Vape,11,Multi-Site Independent,Vape Shop,South East; South West,Andover; Blandford Forum; Cheltenham; Eastleigh; Gloucester; Poole…,,01793 224485,https://www.tidalvape.co.uk/pages/cheltenham-vape-shop
Vape Town,9,Regional Chain,Vape Shop,East of England; South East; South West,Aylesbury; Barnstaple; Leighton Buzzard; Luton; Milton Keynes; Tiverton…,,01525 375503,https://www.vapetown.co.uk/pages/vape-town-yeovil
Bestway Wholesale,8,National Chain,Cash & Carry,East Midlands; East of England; North East; South East; South West; West Midlands,Bristol; Fareham; Gateshead; Leicester; Peterborough; Stoke-on-Trent…,,0116 266 5178,https://www.bestwaywholesale.co.uk/depots/Bestway-Leicester
Booker Group (Tesco),8,National Chain,Cash & Carry,East of England; North East; South East; West Midlands,Darlington; Fareham; Gateshead; Peterborough; Stoke-on-Trent; Sunderland…,,01782 744800,https://www.booker.co.uk/
Eco Vape,8,Regional Chain,Vape Shop,East Midlands; East of England,Bulwell; Colchester; Hucknall; Lincoln; Mablethorpe; Mansfield…,,01773 687259,https://www.eco-vape.co.uk/stores/vape-shop-colchester/
Flavour Vapour,8,Regional Chain,Vape Shop,Scotland; South West; Wales; West Midlands,Birmingham; Blackwood; Bristol; Dundee; Neath; Plymouth…,,01823 275612,https://www.flavourvapour.co.uk/stores?store=3
Spar,8,Franchise / Symbol Group,Convenience Store; Petrol Station / Forecourt,East of England; North East; South East; South West; Yorkshire & Humber,Bristol; Cambridge; Cleethorpes; Crook; Huntingdon; Ramsey…,,01709 817836,https://www.spar.co.uk/store-locator/afb29816-spar-filton
Bargain Booze,7,Franchise / Symbol Group,Off-Licence,East of England; North West; South West; Wales,Barrow-in-Furness; Carlisle; Ely; Kingswood; Swansea,,01229 838100,https://branches.bargainbooze.co.uk/carlisle/1-furze-street.html
Bestway Retail (Bargain Booze),7,Franchise / Symbol Group,Off-Licence,North West; South West,Falmouth; Liverpool; Newquay; Plymouth; Trowbridge,,01326 617045,https://branches.bargainbooze.co.uk
Costcutter,7,Franchise / Symbol Group,Convenience Store,North East; Northern Ireland; South East; Wales; West Midlands; Yorkshire & Humber,Berwick-upon-Tweed; Birmingham; Gosport; Londonderry; Merthyr Tydfil; Portsmouth…,,0121 436 7621,
Go Local (Parfetts),7,Franchise / Symbol Group,Convenience Store,North East; North West; West Midlands,Hyde; Macclesfield; Marske; Middlesbrough; Middleton; Redcar…,,01625 402710,
Londis (Tesco/Booker),7,Franchise / Symbol Group,Convenience Store; Off-Licence,East Midlands; North East; North West; South East,Ashby-de-la-Zouch; Brighton; Gateshead; Redcar; Winsford,,,https://www.londis.co.uk/our-stores/ashby
Scotvapes,7,Multi-Site Independent,Vape Shop,Scotland,Aberdeen; Elgin; Glasgow; Inverness; Paisley,glasgowhigh@scotvapes.com,0141 258 7312,https://scotvapes.com/
Superior Vapour,7,Regional Chain,Vape Shop,South West; Wales,Blackwood; Bristol; Cardiff; Pontypridd; Yate,,0117 403 0462,https://www.superiorvapour.com/pages/vape-shop-bedminster
The Ace Of Vapez,7,Regional Chain,Vape Shop,West Midlands,Bilston; Walsall; Willenhall; Wolverhampton,taovcodsall@gmail.com,01902 276807,https://www.theaceofvapez.com/pages/retail-locations
Vaparettes,7,Regional Chain,Vape Shop,South East,Canterbury; Deal; Dover; Folkestone; Herne Bay; Margate…,,01227 283939,https://vaparettes.co.uk/
Best-one (Bestway),6,Franchise / Symbol Group,Convenience Store,North East; North West; South East,Guildford; Hebburn; Newton-le-Willows; Preston; St Helens,,,
Electromist,6,Multi-Site Independent,Vape Shop,South East; South West; West Midlands,Brierley Hill; Devizes; Halesowen; Melksham; Telford; Woking,,07957 440769,https://electromist.co.uk/
Vape Shop Outlet,6,Regional Chain,Vape Shop,East Midlands; East of England,Buxton; Chesterfield; Grays; Leicester; Peterborough; Wigston,,01298 608956,https://www.vapeshop.co.uk/pages/vape-shop-outlet-buxton
Vapestore (Flavour Warehouse),6,Regional Chain,Vape Shop,South East,Bognor Regis; Brighton; Chichester; Eastbourne; Worthing,,01243 976987,https://www.vapestore.co.uk/pages/store-locations/vapestore-bognor-regis
888 Vapour,5,Multi-Site Independent,Vape Shop,East Midlands; East of England,Mansfield; Newark-on-Trent; Peterborough; West Bridgford; Wisbech,hello@888vapour.com,01733 847762,https://888vapour.com/
888 Vapour Ltd,5,Regional Chain,Vape Shop,East Midlands,Grantham; Lincoln; Sleaford; Spalding,,01476 978200,https://ecigdirectory.co.uk/vape-shop/listing/888-vapour-lincoln/
Abu Bakr Group,5,Multi-Site Independent,Independent Supermarket,Yorkshire & Humber,Batley; Leeds,,01924 950730,https://www.abubakrgroup.com/
Deluxe Vape Co,5,Regional Chain,Vape Shop,Wales,Aberdare; Llanelli; Neath; Swansea,,01685 267273,https://deluxevape.co/pages/aberdare
Nisa Retail,5,Franchise / Symbol Group,Convenience Store,East Midlands; North West; Scotland; South West,Bath; Gainsborough; Kilmarnock; Sale; Spalding,,0161 929 5143,https://www.nisalocally.co.uk/stores/greater-manchester/sale/77-manor-ave-12779146
Premier (Booker symbol group),5,Franchise / Symbol Group,Convenience Store,Scotland; West Midlands,Birmingham; Inverness; Walsall,,01463 232026,https://www.premier-stores.co.uk/our-stores/crown-stores
Prime Vapour,5,Regional Chain,Vape Shop,North West; Scotland,Carlisle; East Kilbride; Irvine; Motherwell,info@primevapour.co.uk,01355 458188,https://www.lanescarlisle.co.uk/stores/prime-vapour/
SMKD,5,Regional Chain,Vape Shop,Yorkshire & Humber,Barnsley; Halifax; Hebden Bridge; Rotherham; Wakefield,info@smkd.com,01274 270303,https://smkd.com/vape-shop-locator/smkd-halifax-vape-shop-market-street/
The Vape Escape,5,Regional Chain,Vape Shop,Wales,Aberdare; Barry; Bridgend; Neath; Port Talbot,,07958 567911,https://thevapeescape.co.uk/a/store-locator/the-vape-escape-barry.html
Vaporized,5,National Chain,Vape Shop,Scotland; South East; South West,Airdrie; Camborne; Coatbridge; Dumfries; Sutton,,,
Vapourz,5,Regional Chain,Vape Shop,Scotland,Alloa; Dunfermline; Falkirk; Kirkcaldy; Stirling,,01383 720335,
Winemark,5,Regional Chain,Off-Licence,Northern Ireland,Bangor; Belfast,,028 9067 3271,https://winemark.com/
Bestway Retail (Best-one),4,Franchise / Symbol Group,Convenience Store,North West,Liverpool; Prescot,,,
C.Gars Ltd,4,Regional Chain,Tobacco Specialist,East of England; London,London; Rollesby,,020 7930 7095,https://www.cgarsltd.co.uk/
E-Cigarette Direct,4,Regional Chain,Vape Shop,South West; Wales; West Midlands,Cheltenham; Hereford; Swansea; Worcester,,,https://www.ecigarettedirect.co.uk/pages/vape-shops/e-cigarette-direct-cheltenham
Flawless Vape Shop,4,Regional Chain,Vape Shop,East Midlands,Leicester; Loughborough,,0116 234 4820,https://www.flawlessvapeshop.co.uk/pages/flawless-vape-shop-in-leicester-beaumont-leys
Freshmist UK Ltd,4,Regional Chain,Vape Shop,North West,Bolton,orders@freshmist.co.uk,01204 288030,https://www.freshmist.co.uk/
I Love Vapour,4,Multi-Site Independent,Vape Shop,East of England,Flitwick; Kempston; Leighton Buzzard; Luton,,01525 839215,https://www.ilovevapour.com/
Lincolnshire Co-operative Limited,4,Regional Chain,Convenience Store,East Midlands,Lincoln,,,https://www.lincolnshire.coop/branches/food-stores/burton-road-food-store
Majestic Wine,4,National Chain,Off-Licence,East of England; South East,Bury St Edmunds; Oxford; Reigate; Worthing,,01737 242942,https://www.majestic.co.uk/stores/bury-st-edmunds
Manchester Super Stores,4,Multi-Site Independent,Independent Supermarket,North West; Yorkshire & Humber,Bradford; Manchester; Wakefield,mssbradford01@gmail.com,0161 721 4495,https://manchestersuperstores.co.uk/
Morrisons,4,National Chain,Convenience Store; Petrol Station / Forecourt,East Midlands; North East; North West,Amble; Eastwood; Skegness; Ulverston,,01754 800468,
One Stop Stores Ltd,4,National Chain,Convenience Store,East Midlands; North East; North West,Beeston; Ingleby Barwick; Liverpool; Thornaby,,0151 792 5986,
Premier E-Cigs Ltd,4,Regional Chain,Vape Shop,East Midlands,Lincoln; Wragby,,01522 697522,https://premiere-cigs.co.uk/vape-e-liquid-store-birchwood/
Premier Stores,4,Franchise / Symbol Group,Convenience Store,East Midlands; South West,Bristol; Carlton,,0115 987 2989,https://www.premier-stores.co.uk/our-stores/d-convenience-filton
Royal Vapes,4,Regional Chain,Vape Shop,West Midlands,Kenilworth; Leamington Spa; Nuneaton; Warwick,,01926 854580,https://www.royalvapes.co.uk/
Shell,4,National Chain,Petrol Station / Forecourt,North East; Wales,Bedlington; Rhyl; Seaham; Stanley,,,
Sky Blue Vape,4,Regional Chain,Vape Shop,South East; West Midlands,Banbury; Coventry; Nuneaton,,01295 263772,https://skybluevape.co.uk/
TJ's E-Cigarettes,4,Multi-Site Independent,Vape Shop,South East,Canterbury; Chatham; Gillingham; Gravesend,,01227 787843,
The Vapour Room,4,Multi-Site Independent,Vape Shop,South East,Burgess Hill; Eastbourne; Hastings; Worthing,,01424 532882,https://tvrburgesshill.wixsite.com/burgesshillvape
Total E-Cig,4,Multi-Site Independent,Vape Shop,East of England,Beccles; Bury St Edmunds; Great Yarmouth; Lowestoft,,,
VJ Vapours,4,Multi-Site Independent,Vape Shop,West Midlands,Kidsgrove; Stoke-on-Trent; Walsall,,01782 866012,https://vjvapours.com/
Vape Shop Guy,4,Multi-Site Independent,Vape Shop,Yorkshire & Humber,Boroughbridge; Knaresborough; Ripon; Thirsk,,01423 325924,https://vapeshopguy.co.uk/
Vape Superstore,4,Regional Chain,Vape Shop,London; North East; Wales,Cardiff; London; Peterlee; Walthamstow,,020 8520 5777,
Vape and Juice,4,Regional Chain,Vape Shop,East of England,Colchester; Rayleigh; Southend-on-Sea; Thetford,,01206 693010,https://vapeandjuice.co.uk/pages/thetford-vape-shop
Wineflair,4,Regional Chain,Off-Licence,Northern Ireland,Belfast; Lisburn,,028 9267 0441,https://wineflair.net/
Worldwide Foods,4,Multi-Site Independent,Independent Supermarket,North West,Manchester,,0161 740 2690,https://worldwidefoods.co.uk/
Ziggicig,4,Regional Chain,Vape Shop,Northern Ireland,Belfast; Coleraine; Lisburn; Newtownards,,028 9560 7313,https://ziggicig.com/
eCigarette Outlet,4,Regional Chain,Vape Shop,East Midlands; Yorkshire & Humber,Cleethorpes; Kingston upon Hull; Scunthorpe; Skegness,customer.service@ecigaretteoutlet.co.uk,01472 694619,https://ecigaretteoutlet.co.uk
420 Vape Shop,3,Multi-Site Independent,Vape Shop,Yorkshire & Humber,Bradford; Pudsey; Shipley,,01274 011507,https://420vapeshop.co.uk/
Air Vape Store,3,Regional Chain,Vape Shop,Wales,Bangor; Caernarfon; Llandudno,,01286 238755,https://airvapestore.com/
Azad Supermarket,3,Multi-Site Independent,Independent Supermarket,West Midlands,Birmingham,,0121 449 8882,
Best-One (Bestway),3,Franchise / Symbol Group,Convenience Store,North East; North West; Scotland,Edinburgh; Gateshead; Runcorn,,0131 553 4260,
CCR Vape,3,Multi-Site Independent,Vape Shop,West Midlands,Hereford; Leominster; Ross-on-Wye,,01432 352767,https://www.ccrvape.co.uk/
Celtic Vapours,3,Regional Chain,Vape Shop,Wales,Bridgend; Port Talbot; Swansea,,01639 898220,https://celticvapours.com/store-locator/vape-shop-bridgend
E Cig Kiosks,3,Multi-Site Independent,Vape Shop,Northern Ireland,Armagh; Dungannon; Portadown,,,https://ecigkiosks.com/
E-Cig City,3,Multi-Site Independent,Vape Shop,South West,Falmouth; Teignmouth; Torquay,,01326 712013,https://ecigcity.co.uk/
ELQD ECIGS,3,Multi-Site Independent,Vape Shop,Northern Ireland,Cookstown; Dungannon; Magherafelt,,028 8623 9349,https://elqdecigs.co.uk/
Food Plus,3,Franchise / Symbol Group,Independent Supermarket,North West; Yorkshire & Humber,Birkenhead; Doncaster; Rotherham,,,https://www.foodplus.eu/
Londis (Booker Group),3,Franchise / Symbol Group,Convenience Store; Petrol Station / Forecourt,East of England,Great Yarmouth; Ipswich,,,https://www.londis.co.uk/our-stores/jet-northgate-service-station
Ministry of Vape,3,Multi-Site Independent,Vape Shop,East of England,Dereham; Great Yarmouth; Wymondham,,07889 315159,
Mullaco,3,Regional Chain,Convenience Store; Independent Supermarket,Yorkshire & Humber,Batley; Dewsbury,,01924 939128,https://mullaco.co.uk/
My Vape Store UK,3,Multi-Site Independent,Vape Shop,South West,Newton Abbot; Paignton; Torquay,,01626 897776,https://www.myvapestore.co.uk
Nisa (Co-op symbol group),3,Franchise / Symbol Group,Convenience Store,West Midlands,Walsall,,,
Nisa (Co-op),3,Franchise / Symbol Group,Convenience Store,East Midlands; North West; South East,Bognor Regis; Long Eaton; Wigan,,,https://www.nisalocally.co.uk/stores/west-sussex/bognor-regis/295-297-chichester-rd
Original Vape Shop,3,Multi-Site Independent,Vape Shop,South West,Christchurch; Ferndown; Swanage,,07845 604898,
Oxford Vapours,3,Multi-Site Independent,Vape Shop,South East,Abingdon; Oxford; Witney,,01865 751666,https://oxfordvapours.com/
SPAR (Appleby Westward),3,Franchise / Symbol Group,Convenience Store,South West,Barnstaple; Newquay; Penzance,,,https://www.spar.co.uk/store-locator/awl40070-spar-pendeen
Safercigs,3,Multi-Site Independent,Vape Shop,South West,Blandford Forum; Dorchester; Wimborne Minster,,01258 880357,
The Ace of Vapez,3,Regional Chain,Vape Shop,West Midlands,Birmingham; Cannock; Lichfield,,0121 492 1290,https://www.theaceofvapez.com/
The Puffin Hut Ltd,3,Regional Chain,Vape Shop,South West,Chippenham; Swindon,,01249 657888,https://thepuffinhut.com/pages/vape-shop-chippenham
The Vapour Bar,3,Multi-Site Independent,Vape Shop,North West,Barrow-in-Furness; Ulverston; Workington,,01229 836855,https://thevapourbar.co.uk/pages/barrow-in-furness-store
Total Vapour,3,Multi-Site Independent,Vape Shop,Northern Ireland,Belfast; Carrickfergus; Newtownabbey,,028 9335 5369,https://www.totalvapour.co.uk/
VPZ (VaporizedGroup),3,National Chain,Vape Shop,East Midlands,Corby; Kettering; Wellingborough,,01536 523895,https://www.vpz.co.uk/
VPZ (Vapouriz),3,National Chain,Vape Shop,South East; South West,Crawley; Penzance; St Austell,,01736 448949,https://stores.vpz.co.uk
Vaparama,3,Regional Chain,Vape Shop,Yorkshire & Humber,Featherstone; Pontefract; Wakefield,shop@vaparama.co.uk,01977 277170,https://www.vaparama.co.uk
Vape Direct,3,Multi-Site Independent,Vape Shop,South East,Buckingham; Milton Keynes,support@vapedirect.com,01908 579888,https://vapedirect.com/pages/vape-direct-buckingham-vape-shop
Vape Shack,3,Multi-Site Independent,Vape Shop,East of England; Yorkshire & Humber,Beverley; Immingham; Stowmarket,,07359 267997,https://www.vape-shack.co.uk
Vape Shop No 1 Wirral,3,Multi-Site Independent,Vape Shop,North West,Birkenhead; Wirral,orders@vapeshopno1.co.uk,0151 208 1706,https://vapeshopno1.co.uk/
Vape With Us,3,Regional Chain,Vape Shop,North East,North Shields; Wallsend; Whitley Bay,,0191 447 9496,https://vapewithus.co.uk/
Vapourium,3,Multi-Site Independent,Vape Shop,South East,Fareham; Gosport; Winchester,,01962 622243,https://vapourium.co.uk/
Walled City Vape,3,Multi-Site Independent,Vape Shop,Northern Ireland,Limavady; Londonderry,,028 7141 4321,https://walledcityvape.com/
We Are Vapes,3,Multi-Site Independent,Vape Shop,Yorkshire & Humber,Bradford,,01274 270773,https://www.wearevapes.com/
Worldwide Foods Group,3,Regional Chain,Independent Supermarket,Yorkshire & Humber,Bradford,info@worldwidefoods.co.uk,01274 572661,https://worldwidefoods.co.uk/
4 Vape,2,Regional Chain,Vape Shop,South East,Havant; Waterlooville,,023 9311 1246,https://4vape.co.uk/shops/havant/
Alba Vapours,2,Multi-Site Independent,Vape Shop,South East,Gosport; Portsmouth,,,
Ape Vapes,2,Multi-Site Independent,Vape Shop,South East,Newport; Ryde,,01983 532146,https://apevapes.co.uk/
Bacchanalia Wine Merchants,2,Multi-Site Independent,Off-Licence,East of England,Cambridge,,01223 315034,https://winegod.co.uk
Berkshire Vapers,2,Multi-Site Independent,Vape Shop,South East,Earley; Winnersh,,0118 327 2829,https://berkshirevapers.net/
Best-one,2,Franchise / Symbol Group,Convenience Store,North East; South East,Oxford; Thornaby,,01642 678073,
Bestway,2,National Chain,Cash & Carry,Wales,Cardiff; Swansea,,,
Billy Vapes,2,Multi-Site Independent,Vape Shop,East Midlands,Nottingham,,0115 952 8347,
Budgens,2,Franchise / Symbol Group,Convenience Store,East of England,Huntingdon; March,,01525 310001,
CRAM Vape,2,Multi-Site Independent,Vape Shop,East Midlands; Yorkshire & Humber,Gainsborough; Scunthorpe,,01724 277259,https://www.cramvape.co.uk
Captains Vape,2,Regional Chain,Vape Shop,West Midlands,Bromsgrove; Leamington Spa,,01926 730764,https://captainsvape.co.uk/store/captains-vape-lounge-leamington-spa/
Chameleon Vapes,2,Multi-Site Independent,Vape Shop,Wales,Wrexham,,07943 609219,
Cheapasmokes,2,Regional Chain,Tobacco Specialist,North East; Yorkshire & Humber,Halifax; Newcastle upon Tyne,sales@cheapasmokes.com,01422 355554,https://www.cheapasmokes.com/pages/cheapasmokes-halifax
Dr Vapor,2,Multi-Site Independent,Vape Shop,Scotland,Edinburgh,,0131 347 1581,
E-Vapes,2,Multi-Site Independent,Vape Shop,Wales,Colwyn Bay; Llandudno,,,
ECigWizard,2,National Chain,Vape Shop,East Midlands,Spalding; Stamford,,01775 248008,https://www.ecigwizard.com
Ecigarus,2,Multi-Site Independent,Vape Shop,Scotland,Hamilton; Wishaw,,01698 296440,
Ecigwizard / Vape Shop Outlet,2,Regional Chain,Vape Shop,West Midlands,Coventry; Nuneaton,nuneaton@ecigwizard.com,024 7622 3044,https://www.vapeshop.co.uk/pages/vape-shop-outlet-coventry-city-centre
Electric Vape,2,Multi-Site Independent,Vape Shop,Yorkshire & Humber,Barnsley; Rotherham,,,https://www.electricvape.co.uk/rotherham-shop
Esso,2,National Chain,Petrol Station / Forecourt,North East,Middlesbrough; Newcastle upon Tyne,,,
Every Cloud Vape,2,Multi-Site Independent,Vape Shop,South East,Havant; Petersfield,,,
Freshways,2,Regional Chain,Cash & Carry,East Midlands; West Midlands,Coventry; Derby,,,https://freshwayscc.co.uk/coventry-branch
Grey Haze,2,Regional Chain,Vape Shop,East Midlands; West Midlands,Birmingham; Nottingham,,0115 998 8118,https://greyhaze.co.uk/
Healthier Smoker,2,Multi-Site Independent,Vape Shop,North East,Blyth; Cramlington,,01670 365200,
KeyVapours,2,Regional Chain,Vape Shop,Wales,Merthyr Tydfil,,01685 388034,
Kix,2,Multi-Site Independent,Vape Shop,Northern Ireland,Belfast; Lisburn,,,
Londis (Booker symbol group),2,Franchise / Symbol Group,Convenience Store; Petrol Station / Forecourt,West Midlands,Birmingham,,0121 474 4928,https://www.londis.co.uk/our-stores/londis-hall-green
Ministry of Vapes,2,Regional Chain,Vape Shop,North West,Darwen; Preston,,,https://ministryofvape.co.uk/
Mister Smoke,2,Regional Chain,Vape Shop,East Midlands,Belper; Ilkeston,,0115 930 3128,
Motor Fuel Group,2,Franchise / Symbol Group,Petrol Station / Forecourt,East of England; North East,March; Redcar,,01354 700859,
MyCigara,2,National Chain,Vape Shop,North East; Scotland,Darlington; Dumfries,,,https://www.mycigara.com/
NXT Vape,2,Multi-Site Independent,Vape Shop,Northern Ireland,Belfast,,,https://nxtvape.com/
One Stop,2,Franchise / Symbol Group,Convenience Store,South West; Wales,Barry; Christchurch,,,
One Stop Stores,2,Franchise / Symbol Group,Convenience Store,West Midlands,Cannock; Stoke-on-Trent,,01543 422160,
Opt2Vape,2,Multi-Site Independent,Vape Shop,West Midlands,Leek; Stone,,01538 371462,https://opt2vape.co.uk/stores/leek-vape-shop/
Phoenix Vapers,2,Multi-Site Independent,Vape Shop,South East,Banbury; Bicester,,01869 360331,https://phoenixeliquid.co.uk/
Quality Foods,2,Multi-Site Independent,Independent Supermarket,London,Ilford; Southall,,020 8571 6966,https://www.qualityfoodsonline.com
Sacred Vapes,2,Multi-Site Independent,Vape Shop,South West,Barnstaple; Bideford,,01237 422911,https://www.greenlanes.co.uk/sacred-vapes/
Sainsbury's,2,National Chain,Convenience Store; Petrol Station / Forecourt,North East,Middlesbrough; Thornaby,,,
Simply ELiquid,2,Multi-Site Independent,Vape Shop,North West,Failsworth; Stockport,info@simplyeliquid.co.uk,0161 429 6016,https://www.simplyeliquid.co.uk/pages/simply-eliquid-failsworth-shop
Sing Kee Foods (Sing-Ying Group),2,Multi-Site Independent,Independent Supermarket,Yorkshire & Humber,Leeds,wholesale@singkeefoods.co.uk,0113 898 0168,https://singkeefoods.co.uk/gb/
Spa Vapes,2,Multi-Site Independent,Vape Shop,South West,Cheltenham,,,https://spavapes.co.uk/shop-locations/
Spar UK,2,Franchise / Symbol Group,Convenience Store,South East,Hastings; Worthing,,,https://www.spar.co.uk/store-locator/afb49914-spar-st-leonards
Superior E-Liquid,2,Multi-Site Independent,Vape Shop,Northern Ireland,Londonderry,,07428 968716,
TB Cash & Carry,2,Multi-Site Independent,Cash & Carry,Yorkshire & Humber,Bradford; Leeds,info@tbcashandcarry.co.uk,01274 740555,https://tbcashandcarry.co.uk/
The Co-operative Group,2,National Chain,Convenience Store,East Midlands; North East,Ponteland; Uppingham,,,https://www.coop.co.uk/store-finder/LE15-9QL/22-north-street-east
The Smoker's Angel,2,Regional Chain,Vape Shop,Wales,Barry; Llanelli,,01792 852843,https://ecigdirectory.co.uk/vape-shop/listing/the-smokers-angel-barry
The Vape House,2,Regional Chain,Vape Shop,Wales,Caerphilly,,029 2086 3037,https://www.thevapehouse.co.uk/pages/vape-shop-caerphilly
The Vape Shop,2,Regional Chain,Vape Shop,East of England,Ipswich; Norwich,,,https://www.vapeshop.co.uk/pages/vape-shop-outlet-ipswich
The Vapeistry,2,Multi-Site Independent,Vape Shop,South East,Dover; Folkestone,,01304 268919,
The Vapour Hut,2,Multi-Site Independent,Vape Shop,South West,Kingswood; Yate,,01454 329153,https://www.thevapour-hut.com/contact/
Time2Vape,2,Multi-Site Independent,Vape Shop,East of England,Ipswich; Sudbury,,,https://time2vape.co.uk/pages/vape-shop-ipswich
Unique Vapour,2,Multi-Site Independent,Vape Shop,South West,Bath; Trowbridge,,01225 920160,
United Wholesale (Scotland) Ltd,2,Regional Chain,Cash & Carry,Scotland,Glasgow,,0141 429 0909,https://uniteduk.co.uk/
Valli Forecourts Ltd,2,Regional Chain,Petrol Station / Forecourt,Yorkshire & Humber,Leeds,,,https://valliforecourts.co.uk/
Vape & Juice,2,Regional Chain,Vape Shop,South East,Canterbury; Margate,,01227 634090,https://vapeandjuice.co.uk/pages/the-canterbury-vape
Vape 360,2,Multi-Site Independent,Vape Shop,South East,Walton-on-Thames; Woking,,,
Vape HQ Cornwall,2,Regional Chain,Vape Shop,South West,Helston; Newquay,,01326 617500,https://www.instagram.com/vapehqcornwall/
Vape Myst,2,Multi-Site Independent,Vape Shop,East of England,Peterborough,,01733 302138,https://www.vapemyst.com/
Vape Safe,2,Multi-Site Independent,Vape Shop,Yorkshire & Humber,Whitby; York,,01947 604873,https://www.vapesafe.net/
Vape Sense,2,Multi-Site Independent,Vape Shop,West Midlands,Malvern; Worcester,,01905 780360,
Vape and Tech,2,Multi-Site Independent,Vape Shop,West Midlands,Evesham; Worcester,,01386 571171,
Vape and Watts,2,Multi-Site Independent,Vape Shop,North West,Hyde; Royton,,,
VapeGen,2,Multi-Site Independent,Vape Shop,East of England,Brentwood; Chelmsford,,01277 525400,https://www.vapegen.co.uk/
Vapepit,2,Multi-Site Independent,Vape Shop,South East,Caterham; Reigate,,01737 233875,https://www.vapepit.co.uk/
Vapertrails,2,Regional Chain,Vape Shop,East of England,St Ives; St Neots,info@vapertrails.uk,01480 700016,https://www.vapertrails.uk/
